Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Forest area (% of land area),AG.LND.FRST.ZS,World,WLD,..,32.373759569026,31.3672852185744,31.3398157847626,31.2888985608941,31.2515001256163,31.2123964792576,31.1755410752473,31.1756771274206,31.1430410787403,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,..
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.7883211678832,28.0766423357664,28.8024635036496,28.8021897810219,28.7920620437956,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,28.7919708029197,..
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.699908470278032,0.662960692602887,0.821247986241997,0.821247986241997,0.815789794104397,0.810331601966797,0.814110692183026,0.818309303282474,0.822088053271978,0.826286664371426,0.830314224054683,..
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,90.35,88.65,86.4,86.25,86.1,85.95,85.8,85.65,85.5,85.35,85.2,..
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,..
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,63.5780701050774,62.3314430095452,55.6530761209593,55.2078447100345,54.7626293414615,54.3174059517125,53.8721745407877,53.4269511510388,52.9817223871019,52.5364972326943,52.0912696719339,..
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,22.9772727272727,21.4772727272727,19.2045454545455,19.0454545454545,18.9090909090909,18.75,18.5909090909091,18.4545454545455,18.3029545454545,18.1615909090909,18.0134090909091,..
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,12.8637149256949,12.1964855354461,10.6321870580884,10.6003968297469,10.5598368832422,10.5203731515078,10.4801786099266,10.4407148781923,10.4008857415345,10.3610566048767,10.3212951412107,..
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,..,11.6838777660695,11.5742887249737,11.5669125395153,11.5595363540569,11.5521601685985,11.5447839831401,11.6489422255448,11.641626848728,11.6336717932132,11.6183158247114,..
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,..
Forest area (% of land area),AG.LND.FRST.ZS,Australia,AUS,17.4273589940513,17.1581557606446,17.3248245968004,17.4254877132405,17.4229136169693,17.4213145571644,17.4213145571644,17.4213145571644,17.4213145571644,17.4213145571644,17.4213145571644,..
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,45.7546049442559,46.5116335433834,47.0333252544838,47.0769510421716,47.1204556471159,47.1639602520601,47.1037324285022,47.137905962191,47.1720794958798,47.206131846825,47.2402653902084,..
Forest area (% of land area),AG.LND.FRST.ZS,Azerbaijan,AZE,..,11.9510925488772,13.0395340115892,13.1544115156647,13.2731460646972,13.4139303602971,13.5533670481767,13.6941896764514,13.8329909255898,13.9724815486993,14.1119540229885,..
Forest area (% of land area),AG.LND.FRST.ZS,"Bahamas, The",BHS,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,50.9350649350649,..
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,0.318840579710145,0.52112676056338,0.77120822622108,0.79589216944801,0.82051282051282,0.848329048843188,0.871794871794872,0.89171974522293,0.911392405063291,0.936708860759494,0.95,..
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,14.7524775293847,14.7524629330875,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.458774758176,14.4899215263887,..
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,14.6511627906977,..
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,..,40.78423252879,42.5341662643242,42.9069698701401,42.9784026641969,43.0515321706572,43.1261547557461,43.1944033894965,43.2722345405272,43.3351396620523,43.4080686559958,..
Forest area (% of land area),AG.LND.FRST.ZS,Belgium,BEL,..,21.9991428477236,22.7244255431378,22.7244255431378,22.7244255431378,22.6051880759519,22.604446776415,22.604446776415,22.604446776415,22.604446776415,22.604446776415,..
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,70.1459886014906,63.9763261727313,58.4318281455502,57.9430074528715,57.4537483559842,56.9649276633056,56.4756685664182,55.9864094695309,55.4971503726436,55.0078912757563,54.5186321788689,..
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,42.8800106420717,36.6721355090458,30.0208407236609,29.5774210713019,29.1340014189429,28.6905817665839,28.2471621142249,27.8037424618659,27.3603228095069,26.9169031571479,26.4734835047889,..
